"SITE_ID","SITE_NAME","DEPTH","BATHYMETRY_AREA"
"IE-Fee","Feeagh",0,3931000
"IE-Fee","Feeagh",1,3688025
"IE-Fee","Feeagh",2,3445050
"IE-Fee","Feeagh",3,3336093.492
"IE-Fee","Feeagh",4,3225992.455
"IE-Fee","Feeagh",5,3133491.11
"IE-Fee","Feeagh",6,3029720
"IE-Fee","Feeagh",7,2912240.997
"IE-Fee","Feeagh",8,2788136
"IE-Fee","Feeagh",9,2682466
"IE-Fee","Feeagh",10,2562766.74
"IE-Fee","Feeagh",11,2425504.808
"IE-Fee","Feeagh",12,2296549.776
"IE-Fee","Feeagh",13,2173240.741
"IE-Fee","Feeagh",14,2055132.833
"IE-Fee","Feeagh",15,1941797.673
"IE-Fee","Feeagh",16,1830879.885
"IE-Fee","Feeagh",17,1713120.439
"IE-Fee","Feeagh",18,1577340.916
"IE-Fee","Feeagh",19,1464350.408
"IE-Fee","Feeagh",20,1359410.085
"IE-Fee","Feeagh",21,1262715.166
"IE-Fee","Feeagh",22,1171462.749
"IE-Fee","Feeagh",23,1092203.476
"IE-Fee","Feeagh",24,1011499.153
"IE-Fee","Feeagh",25,917001.4102
"IE-Fee","Feeagh",26,825064.1384
"IE-Fee","Feeagh",27,745660
"IE-Fee","Feeagh",28,648220
"IE-Fee","Feeagh",29,580502.631
"IE-Fee","Feeagh",30,526747.0123
"IE-Fee","Feeagh",31,474637.3604
"IE-Fee","Feeagh",32,408185.554
"IE-Fee","Feeagh",33,335719.63
"IE-Fee","Feeagh",34,279954.8601
"IE-Fee","Feeagh",35,222861.9353
"IE-Fee","Feeagh",36,179055.3041
"IE-Fee","Feeagh",37,158330.8204
"IE-Fee","Feeagh",38,138889.9567
"IE-Fee","Feeagh",39,123335.5328
"IE-Fee","Feeagh",40,107797.1005
"IE-Fee","Feeagh",41,90896.30018
"IE-Fee","Feeagh",42,74949.25664
"IE-Fee","Feeagh",43,57922.96164
"IE-Fee","Feeagh",44,29175.8334
"IE-Fee","Feeagh",45,9158.892754
"IE-Fee","Feeagh",46,981.4504006
"IE-Fee","Feeagh",46.8,4.513647009
