standard_name,short_name
datetime,time
Longwave_Radiation_Downwelling_wattPerMeterSquared,lwr
Shortwave_Radiation_Downwelling_wattPerMeterSquared,swr
Cloud_Cover_decimalFraction,cc
Air_Temperature_celsius,airt
Relative_Humidity_percent,relh
Dewpoint_Temperature_celsius,dewt
Ten_Meter_Elevation_Wind_Speed_meterPerSecond,wind_speed
Ten_Meter_Elevation_Wind_Direction_degree,wind_dir
Ten_Meter_Uwind_vector_meterPerSecond,u10
Ten_Meter_Vwind_vector_meterPerSecond,v10
Precipitation_millimeterPerDay,precip
Precipitation_millimeterPerHour,precip_h
Rainfall_millimeterPerDay,rain
Rainfall_millimeterPerHour,rain_h
Snowfall_millimeterPerDay,snow
Snowfall_millimeterPerHour,snow_h
Sea_Level_Barometric_Pressure_pascal,p_sea
Surface_Level_Barometric_Pressure_pascal,p_surf
Vapour_Pressure_milliBar,vap_p
Extinction_Coefficient_perMeter,ext_coef
